                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88633,                 3.0648,                 1.4291,                 0.0042,                0.98413,                0.39445,                0.26431,                 0.7272,                 3.7359,                 1.4669,             0.00017148,             0.00017148,             0.00017148
                      2,                0.85919,                 2.4644,                 1.3736,                0.00416,                0.98413,                0.43983,                0.30611,                 0.7367,                  3.597,                 1.4365,             0.00018041,             0.00018041,             0.00018041
